Product_ID,Product_Name,Brand,Category,Region,Channel,Date,Week_Num,Units_Sold,Promotion_Flag,Is_New_Launch,Lifecycle_Stage,Usage_Frequency,Price_USD,Rating,Skin_Type,Gender_Target,Cruelty_Free,Country_of_Origin,Week_Index
16,Super Eye Shadow,Ilia Beauty,Blush,China,Retail,1/1/2023,52,117,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
6,Divine Contour,Patrick Ta,Setting Spray,China,Retail,1/1/2023,52,76,0,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
16,Super Eye Shadow,Ilia Beauty,Blush,EU,eCommerce,1/1/2023,52,100,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
16,Super Eye Shadow,Ilia Beauty,Blush,EU,Retail,1/1/2023,52,107,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
16,Super Eye Shadow,Ilia Beauty,Blush,US,eCommerce,1/1/2023,52,113,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
16,Super Eye Shadow,Ilia Beauty,Blush,US,Retail,1/1/2023,52,134,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
15,Perfect Lip Gloss,Kiehl’s,Blush,China,eCommerce,1/1/2023,52,38,0,1,Launch,Monthly,55.92,4.9,Sensitive,Unisex,TRUE,Germany,0
6,Divine Contour,Patrick Ta,Setting Spray,China,eCommerce,1/1/2023,52,79,0,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
15,Perfect Lip Gloss,Kiehl’s,Blush,China,Retail,1/1/2023,52,36,0,1,Launch,Monthly,55.92,4.9,Sensitive,Unisex,TRUE,Germany,0
15,Perfect Lip Gloss,Kiehl’s,Blush,EU,eCommerce,1/1/2023,52,37,0,1,Launch,Monthly,55.92,4.9,Sensitive,Unisex,TRUE,Germany,0
12,Divine Primer,Yves Saint Laurent,Mascara,China,eCommerce,1/1/2023,52,74,0,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
25,Magic Highlighter,NARS,Makeup Remover,EU,Retail,1/1/2023,52,645,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
12,Divine Primer,Yves Saint Laurent,Mascara,China,Retail,1/1/2023,52,89,0,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
8,Divine Serum,Sisley,Bronzer,China,Retail,1/1/2023,52,19,0,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
7,Divine Eye Shadow,Bite Beauty,Moisturizer,China,eCommerce,1/1/2023,52,297,0,1,Launch,Daily,48.35,1.7,Sensitive,Female,FALSE,Australia,0
10,Magic Powder,Huda Beauty,Contour,EU,eCommerce,1/1/2023,52,82,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
17,Super Cleanser,NARS,Lipstick,EU,Retail,1/1/2023,52,47,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
10,Magic Powder,Huda Beauty,Contour,EU,Retail,1/1/2023,52,84,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
10,Magic Powder,Huda Beauty,Contour,US,eCommerce,1/1/2023,52,77,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
10,Magic Powder,Huda Beauty,Contour,US,Retail,1/1/2023,52,83,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
8,Divine Serum,Sisley,Bronzer,US,Retail,1/1/2023,52,26,1,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,China,eCommerce,1/1/2023,52,99,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,China,Retail,1/1/2023,52,81,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,EU,eCommerce,1/1/2023,52,101,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,EU,Retail,1/1/2023,52,96,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,US,eCommerce,1/1/2023,52,90,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
8,Divine Serum,Sisley,Bronzer,US,eCommerce,1/1/2023,52,21,0,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
9,Perfect Lip Gloss,Yves Saint Laurent,Face Mask,US,Retail,1/1/2023,52,99,0,1,Launch,Weekly,119.66,2.3,Oily,Female,FALSE,Germany,0
8,Divine Serum,Sisley,Bronzer,China,eCommerce,1/1/2023,52,23,0,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
8,Divine Serum,Sisley,Bronzer,EU,eCommerce,1/1/2023,52,26,1,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
25,Magic Highlighter,NARS,Makeup Remover,China,Retail,1/1/2023,52,686,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
4,Perfect BB Cream,Clinique,Face Oil,China,eCommerce,1/1/2023,52,37,0,1,Launch,Occasional,125.74,4.2,Combination,Female,FALSE,Italy,0
25,Magic Highlighter,NARS,Makeup Remover,China,eCommerce,1/1/2023,52,576,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,EU,eCommerce,1/1/2023,52,38,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
47,Ultra Setting Spray,RMS Beauty,Foundation,US,Retail,1/1/2023,52,83,1,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
48,Super Bronzer,Huda Beauty,Cleanser,EU,Retail,1/1/2023,52,28,0,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
46,Divine Highlighter,Bourjois,Mascara,EU,Retail,1/1/2023,52,158,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
0,Magic Eye Shadow,Shiseido,Highlighter,China,eCommerce,1/1/2023,52,92,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
47,Ultra Setting Spray,RMS Beauty,Foundation,EU,Retail,1/1/2023,52,60,0,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
0,Magic Eye Shadow,Shiseido,Highlighter,EU,eCommerce,1/1/2023,52,88,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
46,Divine Highlighter,Bourjois,Mascara,US,eCommerce,1/1/2023,52,153,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,China,Retail,1/1/2023,52,41,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
47,Ultra Setting Spray,RMS Beauty,Foundation,China,eCommerce,1/1/2023,52,64,0,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
46,Divine Highlighter,Bourjois,Mascara,China,Retail,1/1/2023,52,191,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
8,Divine Serum,Sisley,Bronzer,EU,Retail,1/1/2023,52,21,0,1,Launch,Monthly,109.54,4.8,Sensitive,Female,TRUE,Italy,0
45,Divine Concealer,Juvia’s Place,Lipstick,China,Retail,1/1/2023,52,106,0,1,Launch,Weekly,89.33,3.1,Combination,Unisex,FALSE,USA,0
6,Divine Contour,Patrick Ta,Setting Spray,US,Retail,1/1/2023,52,69,0,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
21,Super Bronzer,Tarte,Eye Shadow,China,eCommerce,1/1/2023,52,139,0,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
0,Magic Eye Shadow,Shiseido,Highlighter,EU,Retail,1/1/2023,52,80,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
21,Super Bronzer,Tarte,Eye Shadow,China,Retail,1/1/2023,52,175,0,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
45,Divine Concealer,Juvia’s Place,Lipstick,China,eCommerce,1/1/2023,52,100,0,1,Launch,Weekly,89.33,3.1,Combination,Unisex,FALSE,USA,0
0,Magic Eye Shadow,Shiseido,Highlighter,China,Retail,1/1/2023,52,99,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
46,Divine Highlighter,Bourjois,Mascara,EU,eCommerce,1/1/2023,52,177,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
47,Ultra Setting Spray,RMS Beauty,Foundation,China,Retail,1/1/2023,52,65,0,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
47,Ultra Setting Spray,RMS Beauty,Foundation,EU,eCommerce,1/1/2023,52,77,0,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
48,Super Bronzer,Huda Beauty,Cleanser,China,eCommerce,1/1/2023,52,37,0,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,China,eCommerce,1/1/2023,52,31,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
48,Super Bronzer,Huda Beauty,Cleanser,China,Retail,1/1/2023,52,35,0,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,US,Retail,1/1/2023,52,39,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
48,Super Bronzer,Huda Beauty,Cleanser,US,Retail,1/1/2023,52,47,1,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,EU,Retail,1/1/2023,52,35,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
46,Divine Highlighter,Bourjois,Mascara,US,Retail,1/1/2023,52,189,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
0,Magic Eye Shadow,Shiseido,Highlighter,US,eCommerce,1/1/2023,52,90,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
46,Divine Highlighter,Bourjois,Mascara,China,eCommerce,1/1/2023,52,196,0,1,Launch,Occasional,51.65,2.1,Dry,Female,TRUE,Australia,0
49,Divine Mascara,Kylie Cosmetics,Cleanser,US,eCommerce,1/1/2023,52,36,0,1,Launch,Weekly,128.98,4.4,Combination,Unisex,TRUE,Japan,0
48,Super Bronzer,Huda Beauty,Cleanser,US,eCommerce,1/1/2023,52,32,0,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
47,Ultra Setting Spray,RMS Beauty,Foundation,US,eCommerce,1/1/2023,52,94,1,1,Launch,Weekly,130.05,3.2,Dry,Female,TRUE,Italy,0
48,Super Bronzer,Huda Beauty,Cleanser,EU,eCommerce,1/1/2023,52,31,0,1,Launch,Occasional,139.34,4.2,Normal,Female,TRUE,Australia,0
15,Perfect Lip Gloss,Kiehl’s,Blush,EU,Retail,1/1/2023,52,37,0,1,Launch,Monthly,55.92,4.9,Sensitive,Unisex,TRUE,Germany,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,China,Retail,1/1/2023,52,347,0,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
21,Super Bronzer,Tarte,Eye Shadow,EU,Retail,1/1/2023,52,188,0,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,EU,eCommerce,1/1/2023,52,87,0,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,EU,Retail,1/1/2023,52,107,1,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
6,Divine Contour,Patrick Ta,Setting Spray,EU,Retail,1/1/2023,52,92,0,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,US,eCommerce,1/1/2023,52,98,1,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,US,Retail,1/1/2023,52,76,0,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
17,Super Cleanser,NARS,Lipstick,China,eCommerce,1/1/2023,52,33,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,US,Retail,1/1/2023,52,273,0,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,EU,Retail,1/1/2023,52,299,0,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
26,Divine Makeup Remover,Kiehl’s,Concealer,China,eCommerce,1/1/2023,52,131,0,1,Launch,Weekly,98.8,1.6,Normal,Female,TRUE,France,0
24,Super BB Cream,RMS Beauty,Moisturizer,China,Retail,1/1/2023,52,138,0,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
4,Perfect BB Cream,Clinique,Face Oil,China,Retail,1/1/2023,52,30,0,1,Launch,Occasional,125.74,4.2,Combination,Female,FALSE,Italy,0
26,Divine Makeup Remover,Kiehl’s,Concealer,EU,eCommerce,1/1/2023,52,122,0,1,Launch,Weekly,98.8,1.6,Normal,Female,TRUE,France,0
26,Divine Makeup Remover,Kiehl’s,Concealer,EU,Retail,1/1/2023,52,157,0,1,Launch,Weekly,98.8,1.6,Normal,Female,TRUE,France,0
26,Divine Makeup Remover,Kiehl’s,Concealer,US,eCommerce,1/1/2023,52,118,0,1,Launch,Weekly,98.8,1.6,Normal,Female,TRUE,France,0
26,Divine Makeup Remover,Kiehl’s,Concealer,US,Retail,1/1/2023,52,132,0,1,Launch,Weekly,98.8,1.6,Normal,Female,TRUE,France,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,China,Retail,1/1/2023,52,88,0,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
21,Super Bronzer,Tarte,Eye Shadow,EU,eCommerce,1/1/2023,52,167,0,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
18,Ultra Eyeliner,Kiehl’s,CC Cream,China,eCommerce,1/1/2023,52,62,0,1,Launch,Daily,92.03,3.9,Normal,Male,FALSE,South Korea,0
6,Divine Contour,Patrick Ta,Setting Spray,US,eCommerce,1/1/2023,52,120,1,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
21,Super Bronzer,Tarte,Eye Shadow,US,eCommerce,1/1/2023,52,236,1,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
21,Super Bronzer,Tarte,Eye Shadow,US,Retail,1/1/2023,52,168,0,1,Launch,Daily,18.53,4.8,Dry,Female,FALSE,Italy,0
20,Super Contour,Pat McGrath Labs,Contour,China,eCommerce,1/1/2023,52,60,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,China,eCommerce,1/1/2023,52,331,0,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
20,Super Contour,Pat McGrath Labs,Contour,China,Retail,1/1/2023,52,70,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
20,Super Contour,Pat McGrath Labs,Contour,EU,eCommerce,1/1/2023,52,79,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
20,Super Contour,Pat McGrath Labs,Contour,EU,Retail,1/1/2023,52,64,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
20,Super Contour,Pat McGrath Labs,Contour,US,eCommerce,1/1/2023,52,61,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
20,Super Contour,Pat McGrath Labs,Contour,US,Retail,1/1/2023,52,63,0,1,Launch,Monthly,95.82,2.5,Sensitive,Male,TRUE,France,0
19,Perfect Serum,Becca,Face Oil,China,eCommerce,1/1/2023,52,163,1,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,US,eCommerce,1/1/2023,52,401,1,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
19,Perfect Serum,Becca,Face Oil,China,Retail,1/1/2023,52,124,0,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
19,Perfect Serum,Becca,Face Oil,EU,eCommerce,1/1/2023,52,133,0,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
19,Perfect Serum,Becca,Face Oil,EU,Retail,1/1/2023,52,131,0,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
19,Perfect Serum,Becca,Face Oil,US,eCommerce,1/1/2023,52,112,0,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
19,Perfect Serum,Becca,Face Oil,US,Retail,1/1/2023,52,100,0,1,Launch,Monthly,67.5,1.2,Oily,Unisex,TRUE,Germany,0
15,Perfect Lip Gloss,Kiehl’s,Blush,US,eCommerce,1/1/2023,52,45,1,1,Launch,Monthly,55.92,4.9,Sensitive,Unisex,TRUE,Germany,0
25,Magic Highlighter,NARS,Makeup Remover,EU,eCommerce,1/1/2023,52,593,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
7,Divine Eye Shadow,Bite Beauty,Moisturizer,US,Retail,1/1/2023,52,277,0,1,Launch,Daily,48.35,1.7,Sensitive,Female,FALSE,Australia,0
4,Perfect BB Cream,Clinique,Face Oil,US,Retail,1/1/2023,52,33,0,1,Launch,Occasional,125.74,4.2,Combination,Female,FALSE,Italy,0
29,Ultra Moisturizer,Urban Decay,Powder,China,eCommerce,1/1/2023,52,156,0,1,Launch,Occasional,42.6,3.1,Dry,Female,TRUE,Italy,0
29,Ultra Moisturizer,Urban Decay,Powder,China,Retail,1/1/2023,52,148,0,1,Launch,Occasional,42.6,3.1,Dry,Female,TRUE,Italy,0
29,Ultra Moisturizer,Urban Decay,Powder,EU,eCommerce,1/1/2023,52,162,0,1,Launch,Occasional,42.6,3.1,Dry,Female,TRUE,Italy,0
29,Ultra Moisturizer,Urban Decay,Powder,US,eCommerce,1/1/2023,52,177,0,1,Launch,Occasional,42.6,3.1,Dry,Female,TRUE,Italy,0
36,Perfect Setting Spray,Natasha Denona,Cleanser,US,Retail,1/1/2023,52,56,0,1,Launch,Monthly,60.61,3.7,Oily,Female,TRUE,USA,0
4,Perfect BB Cream,Clinique,Face Oil,US,eCommerce,1/1/2023,52,29,0,1,Launch,Occasional,125.74,4.2,Combination,Female,FALSE,Italy,0
29,Ultra Moisturizer,Urban Decay,Powder,US,Retail,1/1/2023,52,160,0,1,Launch,Occasional,42.6,3.1,Dry,Female,TRUE,Italy,0
28,Divine Face Oil,Danessa Myricks,CC Cream,China,eCommerce,1/1/2023,52,96,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
28,Divine Face Oil,Danessa Myricks,CC Cream,China,Retail,1/1/2023,52,122,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
28,Divine Face Oil,Danessa Myricks,CC Cream,EU,eCommerce,1/1/2023,52,129,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
28,Divine Face Oil,Danessa Myricks,CC Cream,EU,Retail,1/1/2023,52,107,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
4,Perfect BB Cream,Clinique,Face Oil,EU,Retail,1/1/2023,52,36,0,1,Launch,Occasional,125.74,4.2,Combination,Female,FALSE,Italy,0
28,Divine Face Oil,Danessa Myricks,CC Cream,US,eCommerce,1/1/2023,52,119,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
28,Divine Face Oil,Danessa Myricks,CC Cream,US,Retail,1/1/2023,52,114,0,1,Launch,Daily,61.48,3.9,Normal,Unisex,TRUE,UK,0
30,Magic Eyeliner,Kiehl’s,Face Mask,US,Retail,1/1/2023,52,58,0,1,Launch,Monthly,111.54,2.9,Combination,Unisex,FALSE,Italy,0
